#Epoch 	  Loss mean 	 free energy mean 	 reconstruction error mean	 validation free energy mean 	 comparison_free_energy_mean
127	-0.287661513435	-127.125691992	0.32211184257	-127.344303264	-127.129535927
128	-0.294287595813	-127.276079578	0.32157022997	-127.428250441	-127.21289954
129	-0.263846346346	-127.457592713	0.321249341463	-127.810222304	-127.58958026
130	-0.268388594118	-127.579579993	0.321330756702	-127.668451973	-127.459993867
131	-0.274282109913	-127.830256854	0.320943585383	-128.144295491	-127.924868004
132	-0.290857797068	-127.948091686	0.321089802008	-128.054184072	-127.837532219
133	-0.273465319346	-128.15129606	0.32067532875	-128.468268909	-128.256785816
134	-0.264496060247	-128.298807174	0.320516118564	-128.458778051	-128.237984512
135	-0.264239192629	-128.436578322	0.320941612124	-128.604955234	-128.395728122
136	-0.277272331151	-128.601666619	0.320496545905	-128.796154873	-128.572100316
137	-0.270022467909	-128.731213636	0.320719243508	-128.89182896	-128.676897541
138	-0.273680126249	-128.939413836	0.319911349102	-129.06501785	-128.845841509
139	-0.269002096002	-129.092992501	0.319510527285	-129.006181077	-128.797319319
140	-0.282914373857	-129.242826891	0.319901644744	-129.483405062	-129.265243599
141	-0.26716451805	-129.426959912	0.319808223153	-129.423320298	-129.216460514
142	-0.273563929247	-129.631550755	0.319538815806	-129.51975546	-129.305142656
143	-0.267861305367	-129.772937062	0.319219243401	-130.016505281	-129.80494894
144	-0.240607046909	-129.957853352	0.318993749995	-130.16003879	-129.947322134
145	-0.250159446008	-130.089741195	0.318773684219	-130.350104319	-130.135667698
146	-0.237777944393	-130.202566435	0.318952466877	-130.617928122	-130.411006102
147	-0.26511176305	-130.354017052	0.318504769614	-130.238062696	-130.02969393
148	-0.248082962591	-130.473347639	0.318352796435	-130.723868908	-130.507712442
149	-0.2266662161	-130.627652626	0.318734045782	-130.904550819	-130.68347909
150	-0.261422059787	-130.800438632	0.318523026673	-130.801181248	-130.592688232
151	-0.244902734737	-130.956026987	0.318461678216	-130.877099262	-130.665511679
152	-0.236467257531	-131.102821405	0.317928783109	-131.069084839	-130.857548988
153	-0.232661764784	-131.227153458	0.317949177968	-131.380953712	-131.158731077
154	-0.245393406736	-131.365988301	0.317778289036	-131.366269037	-131.15273342
155	-0.233631439337	-131.49160781	0.317091941175	-131.644264744	-131.430885654
156	-0.240088418457	-131.669057121	0.317524671774	-131.655275293	-131.446058626
157	-0.233933335998	-131.868037779	0.317532894768	-131.967103146	-131.74798062
158	-0.247842389252	-131.954612149	0.317424177747	-131.973794871	-131.757884312
159	-0.233820642575	-132.123515656	0.316947203373	-132.167664226	-131.954857158
160	-0.210096164741	-132.276747739	0.316859868326	-132.096172268	-131.885071348
161	-0.230586733089	-132.375184239	0.316558223304	-132.585438559	-132.362286491
162	-0.220339919533	-132.600269313	0.316279112383	-132.630474311	-132.41332709
163	-0.213035354932	-132.686247246	0.315843092235	-133.029314426	-132.804988879
164	-0.214497068053	-132.85021696	0.315979934209	-132.892676738	-132.679156113
165	-0.207167554319	-132.961621365	0.316393585205	-132.879895132	-132.664232489
166	-0.215178937735	-133.127659282	0.315737993968	-133.179802	-132.965279725
167	-0.214809686532	-133.162147471	0.315772862121	-133.313548541	-133.091235608
168	-0.206750068363	-133.333212833	0.315648683937	-133.552255052	-133.324954729
169	-0.19465359778	-133.459605503	0.315615789482	-133.525419756	-133.308136685
170	-0.220002502311	-133.602799403	0.315697368446	-133.708832686	-133.489134271
171	-0.206271473619	-133.739523122	0.315062664716	-133.758444197	-133.543128776
172	-0.21463800584	-133.881943177	0.315165954075	-133.970452728	-133.75628116
173	-0.213546236877	-134.116606814	0.315110690907	-134.162349071	-133.94226802
174	-0.208708139199	-134.227353128	0.314428618174	-134.323315557	-134.101662449
175	-0.197892715666	-134.300831785	0.31441743468	-134.447559989	-134.229746064
