1.500000	0.985832	0.000076	0.020058	0.000472	-1.943817	0.000298	0.204107	0.002151
1.570340	0.981287	0.000093	0.027739	0.000569	-1.926217	0.000354	0.259836	0.002945
1.640690	0.975548	0.000119	0.044329	0.000649	-1.907027	0.000431	0.338339	0.002982
1.711030	0.967481	0.000158	0.073379	0.001036	-1.883332	0.000489	0.420641	0.003058
1.781380	0.959459	0.000186	0.095009	0.001383	-1.859201	0.000540	0.468927	0.003371
1.851720	0.948093	0.000228	0.144720	0.002526	-1.828113	0.000607	0.545623	0.003953
1.922070	0.932288	0.000296	0.229636	0.003932	-1.788326	0.000681	0.647947	0.004392
1.992410	0.911776	0.000381	0.359969	0.005326	-1.741134	0.000771	0.772605	0.005021
2.062760	0.889558	0.000444	0.491631	0.006465	-1.693056	0.000813	0.851546	0.005017
2.133100	0.859328	0.000563	0.704346	0.007790	-1.634643	0.000935	0.969446	0.005288
2.203450	0.818564	0.000631	0.952570	0.008417	-1.558988	0.001008	1.078531	0.005481
2.273790	0.773509	0.000757	1.232991	0.009193	-1.484228	0.001067	1.158139	0.005189
2.344140	0.722907	0.000826	1.462582	0.008932	-1.402180	0.001137	1.195489	0.005085
2.414480	0.672833	0.000876	1.604854	0.008174	-1.322998	0.001151	1.160463	0.004840
2.484830	0.606775	0.000937	1.751331	0.007049	-1.227744	0.001166	1.105625	0.004608
2.555170	0.556740	0.000930	1.746301	0.006457	-1.155373	0.001127	1.015012	0.004448
2.625520	0.518170	0.000942	1.711982	0.005919	-1.097818	0.001141	0.950309	0.004278
2.695860	0.448891	0.000920	1.570376	0.005323	-1.008925	0.001042	0.784733	0.003831
2.766210	0.427519	0.000889	1.481453	0.005140	-0.971437	0.001026	0.722864	0.003720
2.836550	0.397232	0.000868	1.338661	0.004770	-0.924266	0.001001	0.627430	0.003304
2.906900	0.375415	0.000841	1.237661	0.004644	-0.886782	0.000990	0.574769	0.003177
2.977240	0.353975	0.000797	1.117221	0.004356	-0.853076	0.000928	0.505388	0.002790
3.047590	0.331433	0.000787	1.017071	0.004066	-0.819041	0.000911	0.457122	0.002504
3.117930	0.317916	0.000751	0.932453	0.003993	-0.791109	0.000886	0.415618	0.002282
3.188280	0.300879	0.000731	0.839244	0.003670	-0.759852	0.000880	0.373738	0.002079
3.258620	0.283959	0.000695	0.764323	0.003508	-0.734909	0.000829	0.343087	0.001924
3.328970	0.274749	0.000682	0.712682	0.003299	-0.712157	0.000843	0.318735	0.001801
3.399310	0.263027	0.000671	0.654392	0.003164	-0.690765	0.000829	0.295096	0.001636
3.469660	0.250878	0.000617	0.588661	0.002923	-0.667159	0.000790	0.269052	0.001451
3.540000	0.244996	0.000612	0.553245	0.002799	-0.651471	0.000791	0.254533	0.001411
